"locus","chr","start","stop"
"AT1G44050","1",16739309,16741513
"AT1G09370","1",3024901,3025425
"AT1G50910","1",18867083,18869839
"AT1G75140","1",28202166,28204019
"AT1G80370","1",30214694,30216861
"AT1G36730","1",13898706,13900025
"AT1G75150","1",28204709,28208512
"AT1G12580","1",4283635,4285675
"AT1G73850","1",27767375,27770386
"AT1G17380","1",5955654,5957070
"AT1G31885","1",11450460,11451985
"AT1G77360","1",29071983,29073536
"AT1G44030","1",16724773,16726566
"AT1G65540","1",24362382,24366011
"AT1G09380","1",3026351,3029322
"AT1G77470","1",29112194,29114323
"AT1G36745","1",13911137,13911679
"AT1G23190","1",8219946,8224186
"AT1G12570","1",4278192,4280753
"AT1G36970","1",14016385,14018356
"AT1G15980","1",5489314,5491199
"AT1G77490","1",29117688,29120046
"AT1G10960","1",3664445,3664891
"AT1G67130","1",25099262,25100625
"AT1G55900","1",20903163,20905420
"AT1G15990","1",5491304,5493772
"AT1G75160","1",28209534,28211624
"AT1G49640","1",18375697,18376644
"AT1G36990","1",14027594,14029711
"AT1G12600","1",4286414,4288859
"AT1G09730","1",3148017,3154236
"AT1G77340","1",29068620,29069828
"AT1G12650","1",4306183,4307673
"AT1G70840","1",26713170,26714014
"AT1G49700","1",18388792,18390496
"AT1G36980","1",14025084,14026727
"AT1G65550","1",24367694,24370800
"AT1G21090","1",7384854,7386199
"AT1G28520","1",10029713,10031479
"AT1G79600","1",29950105,29952516
"AT1G65950","1",24546860,24551119
"AT1G70850","1",26715429,26716744
"AT1G09720","1",3144438,3147303
"AT1G44085","1",16758110,16758508
"AT1G77350","1",29070497,29071545
"AT1G80420","1",30235444,30237163
"AT1G65930","1",24539088,24541861
"AT1G74930","1",28144239,28144826
"AT1G77410","1",29088771,29093148
"AT1G74840","1",28116201,28117317
"AT1G51140","1",18943802,18945613
"AT1G43850","1",16617872,16621596
"AT1G09550","1",3089733,3092254
"AT1G51150","1",18948370,18949290
"AT1G09640","1",3120162,3122152
"AT1G10920","1",3644587,3647004
"AT1G09540","1",3086333,3087689
"AT1G71015","1",26789389,26790061
"AT1G09630","1",3118350,3119571
"AT1G77400","1",29085881,29086579
"AT1G74860","1",28123432,28125600
"AT1G73840","1",27763937,27766328
"AT1G36925","1",13986436,13987289
"AT1G74920","1",28139175,28142573
"AT1G09580","1",3104657,3106092
"AT1G79190","1",29788639,29794116
"AT1G09575","1",3101851,3102832
"AT1G77405","1",29087145,29088521
"AT1G09570","1",3095498,3099216
"AT1G09560","1",3093896,3094639
"AT1G74850","1",28119237,28122314
"AT1G73580","1",27654841,27655518
"AT1G09590","1",3106549,3107606
"AT1G74940","1",28146284,28147065
"AT1G51010","1",18911597,18911845
"AT1G65730","1",24442639,24446122
"AT1G09645","1",3123155,3124347
"AT1G51172","1",18963205,18965571
"AT1G70985","1",26764774,26765181
"AT1G42440","1",15895528,15899939
"AT1G51190","1",18977517,18980305
"AT1G70970","1",26759834,26761042
"AT1G80470","1",30256185,30257916
"AT1G51030","1",18915179,18915421
"AT1G65710","1",24437057,24438424
"AT1G09650","1",3125978,3127126
"AT1G65720","1",24440471,24441013
"AT1G70980","1",26762339,26764394
"AT1G43860","1",16622244,16624385
"AT1G71010","1",26782839,26788712
"AT1G51040","1",18920658,18923314
"AT1G51160","1",18950057,18951560
"AT1G20990","1",7330524,7331946
"AT1G71000","1",26769336,26770111
"AT1G73830","1",27760027,27761346
"AT1G51170","1",18953625,18954839
"AT1G70990","1",26767520,26768050
"AT1G65740","1",24452096,24453211
"AT1G10870","1",3616905,3623612
"AT1G21000","1",7337919,7339088
"AT1G79580","1",29941020,29942925
"AT1G51130","1",18939480,18941560
"AT1G31800","1",11396440,11399470
"AT1G10900","1",3632396,3636416
"AT1G74900","1",28133933,28135381
"AT1G21050","1",7366859,7367596
"AT1G74890","1",28131590,28132710
"AT1G74910","1",28135770,28138456
"AT1G10910","1",3639908,3643974
"AT1G31770","1",11375252,11377644
"AT1G77380","1",29075201,29077252
"AT1G51120","1",18938091,18939149
"AT1G51080","1",18929883,18930740
"AT1G65845","1",24493332,24493782
"AT1G21010","1",7346239,7346871
"AT1G43800","1",16577662,16579549
"AT1G73610","1",27678377,27679807
"AT1G51090","1",18932985,18933747
"AT1G43790","1",16575952,16576302
"AT1G54500","1",20357084,20357671
"AT1G31780","1",11391341,11394610
"AT1G65840","1",24490173,24492728
"AT1G51110","1",18935380,18937484
"AT1G51100","1",18934342,18934977
"AT1G43810","1",16580447,16580800
"AT1G31790","1",11394744,11395973
"AT1G79170","1",29782273,29782622
"AT1G65810","1",24477043,24480728
"AT1G74880","1",28130112,28131020
"AT1G73590","1",27659772,27662876
"AT1G65760","1",24458591,24459715
"AT1G31814","1",11412985,11414406
"AT1G09620","1",3113077,3116455
"AT1G36920","1",13983516,13984389
"AT1G74870","1",28127093,28128275
"AT1G31812","1",11411132,11412099
"AT1G10880","1",3624035,3627021
"AT1G09600","1",3108617,3111318
"AT1G09610","1",3111789,3112637
"AT1G65770","1",24460656,24461738
"AT1G79180","1",29786509,29787589
"AT1G51060","1",18926948,18927443
"AT1G77390","1",29081904,29084137
"AT1G43780","1",16563811,16567399
"AT1G31810","1",11399922,11405761
"AT1G65800","1",24473166,24476523
"AT1G31760","1",11372602,11373414
"AT1G77420","1",29093641,29095442
"AT1G42430","1",15891512,15894322
"AT1G65790","1",24468932,24472329
"AT1G54490","1",20350300,20356650
"AT1G22540","1",7964202,7966222
"AT1G73600","1",27669224,27673400
"AT1G51055","1",18925286,18926315
"AT1G10890","1",3628081,3630545
"AT1G65780","1",24462958,24466888
"AT1G74950","1",28148919,28150258
"AT1G70960","1",26756253,26757362
"AT1G73530","1",27643801,27645386
"AT1G10930","1",3648032,3654997
"AT1G70900","1",26732456,26733637
"AT1G75020","1",28171779,28173357
"AT1G65670","1",24421993,24423953
"AT1G70895","1",26728170,26728469
"AT1G31820","1",11416691,11418139
"AT1G73510","1",27642651,27643118
"AT1G36756","1",13917331,13917816
"AT1G20970","1",7314338,7319246
"AT1G80440","1",30241763,30242827
"AT1G10800","1",3598158,3598514
"AT1G65900","1",24516023,24518325
"AT1G79200","1",29794404,29795711
"AT1G74820","1",28111882,28112565
"AT1G70940","1",26743170,26745871
"AT1G23200","1",8227236,8229400
"AT1G15940","1",5473672,5478050
"AT1G50960","1",18889549,18891719
"AT1G79590","1",29947064,29948304
"AT1G70910","1",26734155,26734640
"AT1G10810","1",3599369,3600757
"AT1G70920","1",26736126,26738419
"AT1G51290","1",19012173,19013306
"AT1G75010","1",28164994,28169941
"AT1G21060","1",7371799,7374085
"AT1G31830","1",11418875,11420362
"AT1G15950","1",5478855,5481915
"AT1G70870","1",26721020,26721563
"AT1G10790","1",3596360,3597847
"AT1G43970","1",16681269,16682933
"AT1G65920","1",24525267,24529204
"AT1G75060","1",28181481,28183285
"AT1G22850","1",8080671,8082816
"AT1G65640","1",24411695,24413527
"AT1G51310","1",19019185,19021735
"AT1G70880","1",26723086,26723717
"AT1G31840","1",11424006,11426528
"AT1G65630","1",24406542,24409068
"AT1G54450","1",20336570,20339535
"AT1G21065","1",7374210,7375644
"AT1G74800","1",28102221,28104993
"AT1G65650","1",24415172,24417466
"AT1G31835","1",11423332,11423562
"AT1G74810","1",28108474,28111534
"AT1G43950","1",16672582,16673952
"AT1G75030","1",28174418,28175255
"AT1G73500","1",27639419,27640351
"AT1G55610","1",20779874,20783374
"AT1G65890","1",24512598,24514611
"AT1G65660","1",24418295,24421231
"AT1G70890","1",26725912,26726489
"AT1G51300","1",19014260,19016103
"AT1G75040","1",28177754,28178731
"AT1G65910","1",24520933,24524108
"AT1G75050","1",28180116,28181062
"AT1G73480","1",27629266,27632486
"AT1G80450","1",30244155,30244688
"AT1G70950","1",26752779,26755242
"AT1G15900","1",5464356,5464697
"AT1G43890","1",16646934,16648395
"AT1G09510","1",3069396,3070812
"AT1G09665","1",3133095,3133674
"AT1G77460","1",29104378,29111580
"AT1G15910","1",5465951,5468723
"AT1G09500","1",3066811,3068484
"AT1G74970","1",28157761,28159202
"AT1G73810","1",27752506,27755208
"AT1G09520","1",3071248,3072030
"AT1G51200","1",18985690,18986211
"AT1G74990","1",28159837,28160250
"AT1G80460","1",30246960,30249055
"AT1G09490","1",3064172,3065815
"AT1G09530","1",3077216,3079367
"AT1G20980","1",7325042,7328933
"AT1G65680","1",24427266,24428399
"AT1G65690","1",24431642,24432898
"AT1G09660","1",3128032,3130791
"AT1G73820","1",27755740,27757158
"AT1G74960","1",28152564,28155948
"AT1G51000","1",18909924,18910142
"AT1G73570","1",27650992,27653942
"AT1G50990","1",18902930,18905204
"AT1G73540","1",27645880,27646571
"AT1G73550","1",27647806,27648536
"AT1G10850","1",3612228,3614343
"AT1G77450","1",29100029,29100981
"AT1G77440","1",29096334,29098105
"AT1G73560","1",27649768,27650456
"AT1G09680","1",3134107,3135930
"AT1G22860","1",8083400,8088867
"AT1G51210","1",18987809,18989110
"AT1G43910","1",16656050,16657628
"AT1G65870","1",24503624,24504193
"AT1G09470","1",3055391,3056931
"AT1G15930","1",5471702,5472741
"AT1G65880","1",24508633,24510737
"AT1G51250","1",19001733,19002152
"AT1G50970","1",18896323,18900268
"AT1G74830","1",28113469,28115193
"AT1G73805","1",27745761,27749178
"AT1G51260","1",19003460,19005512
"AT1G09460","1",3053901,3055090
"AT1G31817","1",11414932,11416356
"AT1G51240","1",19000509,19000892
"AT1G65860","1",24499210,24502678
"AT1G54460","1",20340907,20342900
"AT1G51220","1",18989925,18992034
"AT1G09483","1",3060992,3061729
"AT1G15920","1",5469962,5470822
"AT1G75000","1",28163650,28164586
"AT1G09690","1",3136407,3137430
"AT1G51230","1",18997057,18997434
"AT1G09700","1",3137960,3140118
"AT1G10830","1",3605736,3607449
"AT1G43900","1",16654045,16655810
"AT1G49710","1",18391622,18393769
"AT1G50980","1",18900541,18902057
"AT1G09480","1",3057975,3060661
"AT1G49630","1",18368405,18375336
"AT1G14550","1",4979028,4980324
"AT1G21340","1",7476087,7476869
"AT1G07440","1",2286436,2287665
"AT1G14560","1",4981300,4983082
"AT1G07450","1",2288038,2289256
"AT1G69190","1",26013131,26014709
"AT1G07430","1",2281151,2282656
"AT1G16280","1",5568482,5570487
"AT1G49430","1",18291188,18295641
"AT1G07460","1",2290201,2290977
"AT1G47920","1",17661095,17662394
"AT1G14570","1",4983770,4987192
"AT1G14540","1",4974233,4975600
"AT1G07470","1",2291723,2294350
"AT1G47940","1",17668285,17669713
"AT1G23120","1",8198788,8199359
"AT1G13200","1",4507221,4508528
"AT1G23130","1",8200434,8200997
"AT1G69180","1",26007734,26008940
"AT1G16270","1",5563890,5568145
"AT1G13195","1",4501778,4503347
"AT1G69120","1",25982576,25986102
"AT1G55680","1",20804988,20807294
"AT1G13190","1",4499633,4501354
"AT1G70530","1",26588750,26591379
"AT1G21323","1",7466694,7467359
"AT1G73240","1",27542397,27544668
"AT1G73230","1",27540506,27541364
"AT1G17580","1",6039453,6049309
"AT1G16250","1",5557214,5558697
"AT1G69160","1",26000315,26001280
"AT1G69170","1",26005626,26007041
"AT1G70520","1",26584888,26587334
"AT1G16260","1",5559708,5562018
"AT1G21326","1",7469002,7469721
"AT1G69150","1",25993659,25995212
"AT1G14580","1",4990070,4992442
"AT1G70540","1",26593973,26594476
"AT1G13210","1",4509252,4513774
"AT1G73220","1",27538387,27540109
"AT1G07500","1",2304766,2305031
"AT1G76070","1",28546617,28547435
"AT1G07490","1",2301526,2301849
"AT1G70505","1",26570647,26572463
"AT1G13245","1",4525852,4525977
"AT1G21380","1",7485806,7488032
"AT1G76080","1",28548063,28549348
"AT1G21370","1",7484250,7485451
"AT1G13250","1",4528965,4530002
"AT1G13260","1",4542386,4543420
"AT1G21395","1",7492011,7492232
"AT1G73177","1",27516721,27517352
"AT1G70510","1",26576635,26582145
"AT1G55860","1",20879900,20895393
"AT1G73180","1",27518335,27521432
"AT1G21390","1",7489385,7490554
"AT1G70500","1",26566579,26568729
"AT1G76060","1",28543367,28543840
"AT1G73190","1",27522155,27523171
"AT1G76090","1",28550592,28551671
"AT1G73210","1",27528428,27530453
"AT1G49800","1",18438550,18438876
"AT1G47900","1",17647340,17651035
"AT1G47915","1",17660752,17660973
"AT1G14530","1",4971420,4973597
"AT1G07473","1",2294728,2295105
"AT1G16290","1",5570938,5573538
"AT1G47890","1",17643976,17647035
"AT1G13230","1",4520679,4522439
"AT1G76110","1",28555287,28557465
"AT1G76100","1",28554217,28554732
"AT1G73200","1",27523454,27526573
"AT1G07476","1",2295805,2296353
"AT1G17430","1",5982310,5983919
"AT1G07480","1",2296706,2299215
"AT1G21360","1",7481365,7483237
"AT1G17560","1",6037635,6038574
"AT1G76120","1",28558813,28560294
"AT1G72010","1",27107844,27108971
"AT1G71990","1",27100345,27102097
"AT1G07350","1",2257732,2260101
"AT1G62760","1",23237574,23238512
"AT1G76200","1",28593351,28593980
"AT1G07340","1",2254873,2256712
"AT1G76190","1",28592225,28592596
"AT1G17240","1",5896528,5898717
"AT1G47960","1",17681954,17683516
"AT1G76185","1",28590497,28591157
"AT1G17230","1",5891375,5894855
"AT1G77700","1",29204747,29206217
"AT1G13120","1",4469334,4472775
"AT1G49780","1",18429024,18430289
"AT1G70580","1",26613222,26615845
"AT1G76210","1",28595202,28595882
"AT1G07360","1",2260562,2262795
"AT1G49520","1",18329736,18331691
"AT1G77720","1",29210730,29213877
"AT1G72000","1",27103277,27105663
"AT1G77710","1",29206750,29207895
"AT1G07330","1",2251131,2253585
"AT1G17250","1",5901169,5903439
"AT1G47970","1",17687342,17688562
"AT1G69070","1",25967421,25971389
"AT1G71970","1",27093099,27093776
"AT1G48010","1",17711491,17712660
"AT1G71980","1",27098250,27099881
"AT1G14610","1",5008502,5014486
"AT1G69050","1",25961975,25962259
"AT1G69060","1",25965055,25967273
"AT1G17270","1",5909443,5911624
"AT1G77680","1",29192188,29195963
"AT1G76180","1",28587013,28587657
"AT1G14600","1",5001185,5003370
"AT1G77690","1",29201232,29203317
"AT1G49770","1",18424578,18426531
"AT1G47980","1",17691985,17693818
"AT1G17260","1",5904058,5908898
"AT1G48000","1",17704269,17706377
"AT1G69100","1",25979999,25981436
"AT1G47990","1",17698655,17700834
"AT1G69090","1",25977501,25978706
"AT1G69080","1",25972132,25973243
"AT1G14590","1",4998957,5000617
"AT1G13180","1",4495394,4498204
"AT1G77730","1",29214445,29215564
"AT1G07370","1",2263204,2264382
"AT1G55675","1",20803854,20804129
"AT1G07420","1",2277910,2280033
"AT1G16225","1",5551041,5552028
"AT1G49480","1",18314596,18315460
"AT1G49475","1",18312983,18313748
"AT1G13160","1",4484634,4488388
"AT1G76140","1",28571187,28574852
"AT1G42080","1",15716714,15717169
"AT1G17420","1",5977512,5981384
"AT1G49470","1",18310554,18311462
"AT1G16240","1",5555183,5556340
"AT1G73250","1",27545213,27546360
"AT1G16220","1",5548653,5550553
"AT1G16230","1",5553467,5554324
"AT1G49450","1",18305684,18307099
"AT1G76130","1",28561647,28563914
"AT1G62770","1",23246085,23246836
"AT1G07410","1",2276270,2277154
"AT1G13150","1",4481995,4483584
"AT1G70560","1",26604894,26607319
"AT1G76160","1",28578211,28581020
"AT1G55670","1",20802874,20803356
"AT1G49510","1",18327026,18328147
"AT1G17220","1",5885383,5890165
"AT1G07380","1",2264829,2268306
"AT1G77740","1",29220632,29223861
"AT1G13130","1",4474726,4477820
"AT1G76170","1",28584179,28586225
"AT1G13140","1",4478667,4480271
"AT1G16210","1",5546352,5547447
"AT1G07400","1",2275148,2275621
"AT1G77750","1",29230346,29231490
"AT1G49490","1",18317563,18320106
"AT1G49500","1",18321988,18322179
"AT1G76150","1",28575236,28577637
"AT1G48020","1",17716234,17716764
"AT1G72020","1",27109521,27110327
"AT1G72030","1",27110887,27111825
"AT1G16320","1",5580951,5581932
"AT1G13330","1",4568008,4569410
"AT1G75960","1",28518187,28519821
"AT1G07590","1",2336649,2338481
"AT1G70420","1",26539840,26540658
"AT1G16330","1",5582387,5587391
"AT1G16310","1",5578435,5580585
"AT1G75980","1",28522936,28524302
"AT1G07600","1",2338904,2339321
"AT1G13340","1",4569622,4571043
"AT1G75940","1",28511198,28514044
"AT1G70430","1",26545589,26548756
"AT1G13360","1",4577229,4577813
"AT1G75950","1",28516715,28517454
"AT1G13320","1",4563692,4567348
"AT1G75990","1",28524623,28526718
"AT1G47820","1",17612114,17612404
"AT1G73170","1",27511722,27514783
"AT1G13300","1",4556977,4558591
"AT1G47830","1",17613346,17614784
"AT1G07550","1",2322709,2326512
"AT1G77810","1",29260899,29263001
"AT1G50040","1",18542236,18543823
"AT1G47840","1",17616243,17618859
"AT1G16350","1",5590951,5592872
"AT1G07560","1",2327320,2331096
"AT1G13310","1",4561217,4562929
"AT1G76010","1",28528505,28530488
"AT1G76030","1",28534134,28536916
"AT1G49350","1",18265070,18267034
"AT1G16300","1",5574433,5577406
"AT1G77815","1",29263348,29263650
"AT1G76020","1",28532243,28533542
"AT1G13290","1",4550366,4551527
"AT1G70390","1",26529171,26530282
"AT1G70380","1",26526212,26527345
"AT1G63800","1",23667888,23669003
"AT1G17080","1",5840458,5841536
"AT1G72120","1",27132133,27133975
"AT1G19640","1",6789166,6791708
"AT1G63780","1",23665045,23667243
"AT1G19630","1",6785427,6787967
"AT1G19650","1",6796431,6799537
"AT1G17090","1",5842464,5842745
"AT1G49330","1",18250043,18251038
"AT1G17070","1",5837653,5840202
"AT1G14420","1",4931844,4933405
"AT1G49310","1",18237997,18238325
"AT1G72140","1",27141877,27144346
"AT1G17100","1",5844766,5845539
"AT1G19620","1",6784020,6785075
"AT1G14410","1",4929352,4930810
"AT1G49320","1",18246441,18247817
"AT1G72130","1",27137201,27139223
"AT1G72110","1",27129253,27131354
"AT1G16390","1",5602921,5604477
"AT1G70370","1",26513003,26514998
"AT1G73160","1",27506534,27507994
"AT1G55690","1",20808622,20811831
"AT1G73165","1",27508725,27508949
"AT1G75920","1",28505591,28507023
"AT1G16360","1",5593493,5595179
"AT1G49340","1",18252355,18263967
"AT1G75930","1",28508109,28509708
"AT1G41880","1",15651585,15652427
"AT1G73140","1",27502133,27503743
"AT1G17120","1",5851964,5853736
"AT1G19660","1",6800361,6802240
"AT1G70360","1",26508778,26509325
"AT1G16380","1",5598453,5601367
"AT1G73150","1",27504327,27505996
"AT1G16370","1",5596762,5598327
"AT1G70350","1",26507341,26508262
"AT1G70340","1",26504567,26506389
"AT1G22500","1",7949581,7950726
"AT1G72100","1",27127250,27128811
"AT1G17440","1",5984407,5987663
"AT1G72080","1",27120304,27122761
"AT1G77780","1",29248437,29249528
"AT1G17145","1",5860351,5862241
"AT1G70460","1",26556155,26558994
"AT1G72070","1",27118851,27119608
"AT1G63700","1",23625208,23629031
"AT1G17150","1",5865707,5867495
"AT1G70450","1",26552576,26554437
"AT1G17140","1",5856740,5857861
"AT1G28540","1",10035696,10036007
"AT1G63720","1",23636122,23637348
"AT1G69210","1",26018583,26020058
"AT1G70470","1",26559570,26560034
"AT1G63710","1",23632360,23633931
"AT1G69200","1",26016018,26018365
"AT1G50060","1",18551186,18552446
"AT1G49420","1",18287859,18288650
"AT1G70440","1",26549354,26550520
"AT1G76040","1",28537743,28540448
"AT1G17160","1",5867678,5869215
"AT1G17170","1",5869895,5870691
"AT1G70490","1",26564162,26565152
"AT1G17210","1",5880502,5884657
"AT1G77760","1",29236005,29239367
"AT1G17200","1",5878493,5879871
"AT1G22870","1",8089501,8094173
"AT1G63660","1",23604127,23607080
"AT1G17550","1",6034917,6036939
"AT1G13280","1",4547624,4548552
"AT1G72040","1",27112159,27114248
"AT1G19710","1",6814920,6816716
"AT1G17190","1",5875452,5876375
"AT1G63670","1",23607527,23610003
"AT1G72060","1",27118494,27118843
"AT1G77770","1",29246380,29247275
"AT1G72050","1",27115082,27117228
"AT1G63680","1",23614461,23617247
"AT1G63690","1",23618490,23622082
"AT1G17180","1",5872208,5872958
"AT1G14430","1",4934359,4936053
"AT1G63730","1",23641770,23645132
"AT1G77790","1",29250692,29251976
"AT1G14460","1",4948962,4952750
"AT1G69230","1",26026543,26027085
"AT1G69240","1",26028115,26030218
"AT1G14470","1",4954080,4955702
"AT1G50050","1",18546165,18549046
"AT1G14450","1",4947337,4947558
"AT1G41920","1",15680978,15684487
"AT1G49360","1",18267338,18269423
"AT1G07540","1",2318433,2321048
"AT1G07530","1",2313828,2316137
"AT1G07520","1",2309718,2311805
"AT1G14440","1",4939076,4940014
"AT1G07510","1",2305689,2309380
"AT1G47870","1",17634937,17637557
"AT1G49380","1",18276794,18279204
"AT1G19670","1",6803796,6804923
"AT1G14480","1",4956404,4957888
"AT1G14510","1",4962171,4964154
"AT1G49410","1",18286738,18286902
"AT1G49405","1",18284335,18284947
"AT1G19690","1",6807925,6809562
"AT1G14520","1",4968376,4969954
"AT1G69220","1",26020298,26026119
"AT1G63740","1",23645525,23648807
"AT1G72090","1",27123617,27126767
"AT1G19700","1",6809958,6811854
"AT1G49400","1",18283156,18283643
"AT1G19680","1",6805909,6807682
"AT1G77800","1",29253800,29260190
"AT1G55850","1",20876752,20879414
"AT1G62780","1",23249349,23251066
"AT1G47885","1",17642397,17642805
"AT1G49390","1",18279600,18280873
"AT1G14500","1",4960375,4961780
"AT1G14490","1",4958705,4959325
"AT1G44110","1",16775035,16777182
"AT1G14620","1",5014948,5016501
"AT1G44318","1",16831016,16833916
"AT1G14800","1",5099572,5102558
"AT1G68840","1",25880442,25881500
"AT1G21200","1",7421483,7422814
"AT1G14810","1",5102684,5104633
"AT1G14790","1",5094317,5097817
"AT1G16090","1",5516259,5517380
"AT1G68830","1",25872654,25875473
"AT1G21210","1",7424653,7427041
"AT1G17360","1",5947441,5951399
"AT1G44350","1",16834749,16838201
"AT1G21240","1",7434303,7436702
"AT1G12830","1",4374412,4375053
"AT1G73330","1",27569022,27569651
"AT1G44414","1",16847781,16848086
"AT1G21230","1",7429980,7432346
"AT1G14780","1",5091020,5093873
"AT1G65430","1",24301165,24306159
"AT1G73340","1",27573136,27575273
"AT1G21190","1",7419989,7420856
"AT1G73360","1",27578893,27581820
"AT1G65470","1",24319906,24323879
"AT1G70720","1",26666427,26667029
"AT1G12800","1",4361778,4365189
"AT1G62740","1",23231026,23233380
"AT1G31910","1",11459050,11461649
"AT1G44446","1",16848664,16851152
"AT1G65450","1",24315875,24318895
"AT1G12805","1",4366728,4366955
"AT1G68810","1",25861289,25862882
"AT1G65440","1",24306945,24314327
"AT1G68820","1",25865852,25868800
"AT1G16080","1",5514394,5515761
"AT1G79230","1",29800824,29803679
"AT1G12820","1",4368879,4370780
